DAY,MONTH,YEAR,PRCP,TAVG,TMAX,TMIN
12,3,2018,0,27.9,,25.6
13,3,2018,0,28.2,,
14,3,2018,0,28.6,,25.2
15,3,2018,0,28.8,,25.6
16,3,2018,0,28.6,,
17,3,2018,0,28.9,,26
18,3,2018,0,28.9,,
19,3,2018,0,29.2,,25.9
20,3,2018,0,28.9,,
21,3,2018,0,28.1,,26.1
22,3,2018,0,29,,
23,3,2018,0,28.7,,
24,3,2018,0,28.8,,25.3
25,3,2018,0,26.4,,
26,3,2018,7.1,28.3,,24.8
27,3,2018,0.5,25.2,,
28,3,2018,9.9,27,,23.7
29,3,2018,1,27.2,,24.2
30,3,2018,0.3,26.6,,
31,3,2018,0.8,28.3,,23.6
1,4,2018,0.5,27.8,,
2,4,2018,0.8,28.7,,25.1
3,4,2018,0,28.7,,
4,4,2018,0,28.7,,
5,4,2018,0,28.8,,25.5
6,4,2018,0,28.3,,25.7
7,4,2018,3.8,28.3,,26.2
8,4,2018,1.5,28.9,,26.9
9,4,2018,0,29.2,,
10,4,2018,0,28.9,,26.1
11,4,2018,0,29.4,,26.4
12,4,2018,0,29.9,,26.5
13,4,2018,0,29.6,,
14,4,2018,0,28.4,,26.6
15,4,2018,0.5,27.4,,
16,4,2018,14,26.6,,24.6
17,4,2018,1.8,29.1,,25.5
18,4,2018,0,29.1,,
19,4,2018,0,28.6,,26.2
20,4,2018,0.5,28.3,,
21,4,2018,0,27.6,,25.7
22,4,2018,0.3,28.6,,25.8
23,4,2018,0,27.4,,
24,4,2018,7.4,28.9,,25.7
25,4,2018,0,30.7,,26.6
26,4,2018,0,27.9,,
27,4,2018,14,26,,
28,4,2018,11.9,28.6,,22.6
29,4,2018,0.3,30.1,,26.2
30,4,2018,0,28.3,,
1,5,2018,4.8,26.9,,24.9
2,5,2018,6.6,28.2,,25.2
3,5,2018,0.5,28.5,,
4,5,2018,14.2,29.7,,23.6
5,5,2018,0,29.6,,27.7
6,5,2018,0,29.3,,
7,5,2018,0,30,,26.3
8,5,2018,0,30.4,,27.8
9,5,2018,0,30.1,,
10,5,2018,0,29.6,,27.5
11,5,2018,0,29.9,,27.6
12,5,2018,0,30.2,,27.9
13,5,2018,0.3,28.6,,
14,5,2018,1.3,28.9,,26.5
15,5,2018,0,28.9,,
16,5,2018,5.8,28.1,,25.9
17,5,2018,0,29.2,,26.2
18,5,2018,0,28.3,,
19,5,2018,1.3,28,,
20,5,2018,3,27.3,,24.6
21,5,2018,0.3,29.2,,26
22,5,2018,1,28.8,,
23,5,2018,0,26.8,,
24,5,2018,36.3,29.1,,24
25,5,2018,0,29.6,,25.7
26,5,2018,0,27.7,,
27,5,2018,10.7,28.2,,25.8
28,5,2018,1.5,27.6,,
29,5,2018,46.5,28.3,,24
30,5,2018,0.3,27.9,,
31,5,2018,0.3,27.2,,
1,6,2018,26.4,28.2,,
2,6,2018,43.7,27,,22.9
3,6,2018,3.6,29.7,,23.3
4,6,2018,0,29.8,,
5,6,2018,0.5,29.7,,26.5
6,6,2018,0,30.3,,27.3
7,6,2018,0,30.4,,
8,6,2018,0,29.1,,
9,6,2018,3.8,29.6,,24.2
10,6,2018,0,30.1,,27.4
11,6,2018,0,30.3,,28.3
12,6,2018,0,29.9,,28.5
13,6,2018,0,28.1,,
14,6,2018,1.5,29.2,,
15,6,2018,3.3,26.8,,
16,6,2018,6.9,29.8,,23.6
17,6,2018,0,29.7,,27.7
18,6,2018,0.5,27.6,,
19,6,2018,9.9,28.5,,23.9
20,6,2018,0,26.5,,
21,6,2018,21.8,27.7,,23.6
22,6,2018,0,29.2,,25.5
23,6,2018,0.3,26.8,,
24,6,2018,0.5,27.3,,
25,6,2018,14.5,27,,23.2
26,6,2018,0.5,26.9,,
27,6,2018,31.5,26,27.7,23
28,6,2018,10.4,28.5,,23.9
29,6,2018,0,26.3,,
30,6,2018,6.1,28.2,,23.8
1,7,2018,0,26.8,,
2,7,2018,1.8,27.7,,25.3
3,7,2018,0.3,26.8,,
4,7,2018,31.2,28.8,31.5,23.1
5,7,2018,0,28.8,31.7,26.7
6,7,2018,0,28.9,31.5,26.8
7,7,2018,0,28.2,,
8,7,2018,32.5,28.8,,25.2
9,7,2018,0,28.6,,
10,7,2018,13.7,27.1,,23.7
11,7,2018,0,28.6,,24.5
12,7,2018,0,29.2,,
13,7,2018,0,29.2,,27.7
14,7,2018,0,27.9,,
15,7,2018,44.5,27.9,,21.9
16,7,2018,0.5,29.1,,23.8
17,7,2018,0,29.2,,27.6
18,7,2018,0,28.9,,
19,7,2018,7.9,28.6,,23.5
20,7,2018,1,29.1,,24.9
21,7,2018,0,28.7,,25.8
22,7,2018,0,29.4,,27.4
23,7,2018,0,29.7,,
24,7,2018,0,29.5,,27.6
25,7,2018,0,27.1,,
26,7,2018,5.1,29.1,,24.9
27,7,2018,0,29.3,,
28,7,2018,0,29.6,,27.4
29,7,2018,0,29.1,,27.5
30,7,2018,0,27.2,,
31,7,2018,4.8,27.9,,24
1,8,2018,0,26.4,,
2,8,2018,4.3,28.2,,24.6
3,8,2018,0,29.1,,26.2
4,8,2018,0,28,,
5,8,2018,27.2,28.5,,24.9
6,8,2018,2.3,28.9,,
7,8,2018,0,27.4,,
8,8,2018,6.6,27.4,,21.9
9,8,2018,0.3,28.8,,24.7
10,8,2018,0,29.3,,27
11,8,2018,0,29.3,,
12,8,2018,0,29.3,,27
13,8,2018,0,29.7,,27.7
14,8,2018,0,29.9,,27.7
15,8,2018,0,29.5,,
16,8,2018,0,29.6,,27.4
17,8,2018,0,28.5,,
18,8,2018,3,29.1,,24.9
19,8,2018,0,29.3,,26.8
20,8,2018,0.8,29.6,,
21,8,2018,0,29.3,,27.2
22,8,2018,0,26.7,,
23,8,2018,36.6,28.9,,24.1
24,8,2018,0,26.3,,
25,8,2018,34.5,28.1,,22.5
26,8,2018,0,29.4,,26.2
27,8,2018,0,28.9,,
28,8,2018,0,28.6,,
29,8,2018,0,28.1,,
30,8,2018,0,28.4,,
31,8,2018,6.1,27.6,,25
1,9,2018,0.3,28.7,,24.8
2,9,2018,0,26.9,,
3,9,2018,9.7,27.7,,21.4
4,9,2018,0.5,25.7,,
5,9,2018,27.7,28,,23
6,9,2018,0,28.1,,
7,9,2018,0,26.7,,
8,9,2018,38.1,26.9,,21.8
9,9,2018,12.7,27.5,,24
10,9,2018,15.5,27,,23.3
11,9,2018,2.3,26.4,,25
12,9,2018,1,28.1,,24.8
13,9,2018,0,29,,26.4
14,9,2018,0,29.2,,26.5
15,9,2018,0,28.8,31,
16,9,2018,,28.8,,
17,9,2018,0,28.5,,27
18,9,2018,,25.5,,
19,9,2018,0,27.3,,24.7
20,9,2018,0,26.5,,
21,9,2018,3.6,27.1,,23.7
22,9,2018,25.9,27,,24.3
23,9,2018,5.6,29.3,,24.7
24,9,2018,0,27,,
25,9,2018,0,29,,26.3
26,9,2018,0,28.7,,27
27,9,2018,0,29.6,,26.6
28,9,2018,0,29.6,,
29,9,2018,0,29.4,,
30,9,2018,0,29.4,,27.3
1,10,2018,0,29.6,,
2,10,2018,0,29.7,,26.8
3,10,2018,0,29.8,,27.3
4,10,2018,0,30.2,,28
5,10,2018,0,29.9,,
6,10,2018,0,28.1,,
7,10,2018,8.9,27.1,,
8,10,2018,10.9,27.6,,23.7
9,10,2018,34.8,26.6,,24
10,10,2018,15.5,26.4,,23.5
11,10,2018,60.7,27,,23.7
12,10,2018,5.3,26.3,,
13,10,2018,56.9,26.7,,22.5
14,10,2018,1.3,25.4,,
15,10,2018,3,28.4,,24.4
16,10,2018,0,27.9,,25.3
17,10,2018,0,27.3,,
18,10,2018,12.7,26.9,,23.4
19,10,2018,4.8,28.9,,23.7
20,10,2018,0,29.1,,24.9
21,10,2018,9.1,28.9,,24.7
22,10,2018,0,28.9,,25.1
23,10,2018,0,27.7,,
24,10,2018,0,27.5,,
25,10,2018,0.8,27.9,,25.2
26,10,2018,0,28.4,,
27,10,2018,0,27.7,,
28,10,2018,3.6,27,,
29,10,2018,5.1,28.2,,25.1
30,10,2018,0.5,28.3,,25.8
31,10,2018,0.5,27.7,,25.6
1,11,2018,0,26.2,,
2,11,2018,4.8,27,,24.7
3,11,2018,3.3,27.4,,24.5
4,11,2018,0.5,28.1,,25.4
5,11,2018,3.6,27.8,,26
6,11,2018,0.3,26.9,,
7,11,2018,3.8,27.7,,23.6
8,11,2018,13.2,27.8,,24.4
9,11,2018,4.3,26.7,,
10,11,2018,1.5,27.9,,25.6
11,11,2018,0,26.6,,
12,11,2018,0.8,27.7,,24.7
13,11,2018,14.5,27.5,,24.5
14,11,2018,2,27.7,,24.8
15,11,2018,0.3,26.3,,
16,11,2018,4.6,28.4,,23.9
23,11,2018,0,27.6,,
24,11,2018,4.1,28.4,,
25,11,2018,4.8,27.6,,
